Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.7144,0.1884,0.7117,0.0694,0.7153,0.2462,0.7153,0.2367,0.8773,0.0894,0.8505,0.1273
2,0.009901,0.7140,0.1865,0.7113,0.0681,0.7149,0.2437,0.7149,0.2346,0.8779,0.0905,0.8483,0.1296
3,0.009901,0.7142,0.1881,0.7114,0.0685,0.7151,0.2467,0.7151,0.2380,0.8783,0.0914,0.8448,0.1042
4,0.009901,0.7142,0.1861,0.7114,0.0684,0.7151,0.2444,0.7151,0.2373,0.8778,0.0912,0.8474,0.1011
5,0.009901,0.7142,0.1850,0.7115,0.0681,0.7151,0.2434,0.7151,0.2355,0.8777,0.0920,0.8462,0.1029
6,0.009901,0.7144,0.1863,0.7117,0.0700,0.7153,0.2448,0.7153,0.2377,0.8778,0.0918,0.8398,0.0921
7,0.009901,0.7144,0.1871,0.7117,0.0697,0.7152,0.2453,0.7152,0.2376,0.8775,0.0918,0.8561,0.1299
8,0.009901,0.7143,0.1870,0.7116,0.0692,0.7152,0.2430,0.7152,0.2336,0.8779,0.0916,0.8361,0.0951
9,0.009901,0.7142,0.1851,0.7114,0.0680,0.7151,0.2428,0.7151,0.2349,0.8774,0.0908,0.8456,0.1192
10,0.009901,0.7142,0.1837,0.7115,0.0687,0.7150,0.2410,0.7151,0.2334,0.8776,0.0924,0.8464,0.1079
