Run,Prevalence,common_neighbors_AUC,common_neighbors_AP,jaccard_AUC,jaccard_AP,adamic_adar_AUC,adamic_adar_AP,resource_allocation_AUC,resource_allocation_AP,preferential_attachment_AUC,preferential_attachment_AP,embedding_cosine_AUC,embedding_cosine_AP
1,0.009901,0.7645,0.2791,0.7630,0.1642,0.7656,0.3929,0.7656,0.3896,0.7908,0.0723,0.9749,0.5992
2,0.009901,0.7646,0.2793,0.7631,0.1661,0.7657,0.3928,0.7657,0.3900,0.7902,0.0729,0.9764,0.6189
3,0.009901,0.7647,0.2832,0.7632,0.1674,0.7658,0.3981,0.7658,0.3945,0.7905,0.0755,0.9754,0.6110
4,0.009901,0.7647,0.2805,0.7632,0.1692,0.7658,0.3983,0.7658,0.3961,0.7907,0.0720,0.9788,0.6530
5,0.009901,0.7646,0.2796,0.7631,0.1649,0.7658,0.3955,0.7658,0.3925,0.7906,0.0736,0.9748,0.6092
6,0.009901,0.7645,0.2794,0.7630,0.1651,0.7657,0.3972,0.7657,0.3954,0.7911,0.0733,0.9707,0.5520
7,0.009901,0.7646,0.2789,0.7632,0.1694,0.7658,0.3948,0.7658,0.3930,0.7909,0.0742,0.9746,0.5940
8,0.009901,0.7647,0.2786,0.7632,0.1668,0.7658,0.3945,0.7658,0.3920,0.7906,0.0728,0.9694,0.5458
9,0.009901,0.7644,0.2784,0.7629,0.1654,0.7655,0.3915,0.7655,0.3883,0.7909,0.0733,0.9783,0.6527
10,0.009901,0.7647,0.2803,0.7632,0.1679,0.7658,0.3940,0.7658,0.3912,0.7909,0.0739,0.9758,0.6198
